title,author,date,link,pdf_link,query,search_engine,nr_found,cite_count,doi
"The status of method: flexibility, consistency and coherence","I Holloway, L Todres - Qualitative research, 2003 - journals.sagepub.com",2003,https://journals.sagepub.com/doi/abs/10.1177/1468794103033004,https://journals.sagepub.com/doi/pdf/10.1177/1468794103033004,,,1,846,No DOI available
Syncopated space–wireless media shaping human movement and social interaction,"T Rueb - The Information Society on the move. Receiver …, 2004 - locative.articule.net",2004,http://locative.articule.net/wp-content/uploads/2013/06/TRuebSyncopatedSpaceWirelessMediaShapinghumanMovementAndSocialInteraction.pdf,http://locative.articule.net/wp-content/uploads/2013/06/TRuebSyncopatedSpaceWirelessMediaShapinghumanMovementAndSocialInteraction.pdf,,,1,7,No DOI available
Automatic Construction of Intelligent Diagrammatic Environments.,"B Meyer, H Zweckstetter, L Mandel, Z Gassmann - HCI (1), 1999 - pdfs.semanticscholar.org",1999,https://pdfs.semanticscholar.org/7c04/af81faba574bcd1b2088ea6f81cfa1ff0ea6.pdf,https://pdfs.semanticscholar.org/7c04/af81faba574bcd1b2088ea6f81cfa1ff0ea6.pdf,,,1,6,No DOI available
The landscape of service-oriented systems: A research perspective,"K Kontogiannis, GA Lewis, DB Smith… - … Development in SOA …, 2007 - ieeexplore.ieee.org",2007,https://ieeexplore.ieee.org/abstract/document/4273289/,https://ieeexplore.ieee.org/iel5/4273285/4273286/04273289.pdf,,,1,109,No DOI available
Highly available location-based services in mobile environments,"P Ibach, M Horbank - International Service Availability Symposium, 2004 - Springer",2004,https://link.springer.com/chapter/10.1007/978-3-540-30225-4_10,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.455.5948&rep=rep1&type=pdf,,,1,43,No DOI available
The Post‐Epistemological Details of Oceanic Ontologies,"R Armstrong - Architectural Design, 2014 - Wiley Online Library",2014,https://onlinelibrary.wiley.com/doi/abs/10.1002/ad.1789,https://onlinelibrary.wiley.com/doi/pdf/10.1002/ad.1789,,,1,2,No DOI available
Learning and teaching on transnational higher education programmes in Hong Kong,"S Trahar - Learning and Teaching, 2015 - berghahnjournals.com",2015,https://www.berghahnjournals.com/view/journals/latiss/8/1/latiss080106.xml,No PDF available,,,1,15,No DOI available
Is There an Indian Way of Filmmaking?,"P Lutgendorf - International Journal of Hindu Studies, 2006 - Springer",2006,https://link.springer.com/article/10.1007/s11407-007-9031-y,https://link.springer.com/content/pdf/10.1007/s11407-007-9031-y.pdf,,,1,61,No DOI available
The landscape of service-oriented systems: a research perspective for maintenance and reengineering,"K Kontogiannis, G Lewis, D Smith - Proceedings of the 11th …, 2007 - academia.edu",2007,http://www.academia.edu/download/42090387/1-_20PositionPaper-SOAM-v2-4.pdf,http://www.academia.edu/download/42090387/1-_20PositionPaper-SOAM-v2-4.pdf,,,1,19,No DOI available
A procedure for splitting data-aware processes and its application to coordination,"SSTQ Jongmans, D Clarke, J Proença - Science of Computer …, 2016 - Elsevier",2016,https://www.sciencedirect.com/science/article/pii/S0167642314000847,https://repositorio.inesctec.pt/bitstream/123456789/4726/1/P-00A-ADQ.pdf,,,1,4,No DOI available
Multiple intelligences,"B Solomon, K Powell, H Gardner - Encyclopedia of creativity, 1999 - books.google.com",1999,https://books.google.de/books?hl=de&lr=&id=_dK79AdKmIoC&oi=fnd&pg=PA273&dq=context-sensitive+AND+choreography+AND+sensitiv&ots=Rcdw9cn93i&sig=mg2rmEJoV-QPp_DBen_5DJmJzCI,No PDF available,,,1,40,No DOI available
Body gesture and facial expression analysis for automatic affect recognition,"G Castellano, G Caridakis, A Camurri… - Blueprint for affective …, 2010 - books.google.com",2010,https://books.google.de/books?hl=de&lr=&id=vOFcf99wU-YC&oi=fnd&pg=PA245&dq=context-sensitive+AND+choreography+AND+sensitiv&ots=iCxo0Jt9Rs&sig=5B46S8Q-IGwOxjHtvqu2sXht6VA,http://www.image.ece.ntua.gr/papers/643.pdf,,,1,22,No DOI available
Molecular computing with artificial neurons,"M Conrad, KP Zauner - … of the Korea Information Science Society, 2000 - eprints.soton.ac.uk",2000,https://eprints.soton.ac.uk/259141/,https://eprints.soton.ac.uk/259141/1/ConradM00MolCompArtfNeuro.pdf,,,1,12,No DOI available
Pathways into Performance Curation,"W Peterson - International Performance Research Pedagogies, 2017 - Springer",2017,https://link.springer.com/chapter/10.1007/978-3-319-53943-0_13,No PDF available,,,1,No cite count available,No DOI available
