title,author,date,link,pdf_link,query,search_engine,nr_found,cite_count,doi
Service value networks,"B Blau, J Kramer, T Conte… - 2009 IEEE conference …, 2009 - ieeexplore.ieee.org",2009,https://ieeexplore.ieee.org/abstract/document/5210798/,https://ieeexplore.ieee.org/iel5/5210725/5210726/05210798.pdf,,,1,84,No DOI available
Dynamic and decentralized service composition,"T Cottenier, T Elrad - … web information systems and technologies. INSTICC …, 2005 - Citeseer",2005,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.457.6471&rep=rep1&type=pdf,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.457.6471&rep=rep1&type=pdf,,,1,23,No DOI available
Adaptive medical workflow management for a context-dependent home healthcare assistance service,"L Ardissono, A Di Leva, G Petrone, M Segnan… - Electronic Notes in …, 2006 - Elsevier",2006,https://www.sciencedirect.com/science/article/pii/S1571066106000144,https://www.sciencedirect.com/science/article/pii/S1571066106000144/pdf?md5=d2ac5821577383a4987b4a48fe635f6f&pid=1-s2.0-S1571066106000144-main.pdf&_valck=1,,,1,61,No DOI available
Enhancing web service composition by means of diagnosis,"L Ardissono, S Bocconi, L Console, R Furnari… - … Conference on Business …, 2008 - Springer",2008,https://link.springer.com/chapter/10.1007/978-3-642-00328-8_47,http://www.di.unito.it/~liliana/EC/qsws08-per-www.pdf,,,1,14,No DOI available
Towards model driven design of service-based context-aware applications,"V Grassi, A Sindico - … workshop on Engineering of software services for …, 2007 - dl.acm.org",2007,https://dl.acm.org/citation.cfm?id=1294915,No PDF available,,,1,37,No DOI available
Interaction protocol mediation in web service composition,"L Ardissono, R Furnari, G Petrone… - International Journal of …, 2010 - pianeta.di.unito.it",2010,http://pianeta.di.unito.it/~liliana/EC/IJWET10.pdf,http://pianeta.di.unito.it/~liliana/EC/IJWET10.pdf,,,1,12,No DOI available
The design of naming-based service composition system for ubiquitous computing applications,"M Minami, H Morikawa… - … on Applications and the …, 2004 - ieeexplore.ieee.org",2004,https://ieeexplore.ieee.org/abstract/document/1268652/,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.134.4529&rep=rep1&type=pdf,,,1,49,No DOI available
A coordinated architecture for the agent-based service level agreement negotiation of web service composition,"MB Chhetri, J Lin, SK Goh, J Yan… - Australian Software …, 2006 - ieeexplore.ieee.org",2006,https://ieeexplore.ieee.org/abstract/document/1615042/,https://ieeexplore.ieee.org/iel5/10753/33896/01615042.pdf,,,1,78,No DOI available
Validation of context-dependent aspect-oriented adaptations to components,"T Cottenier, T Elrad - WCOP, Oslo, 2004 - Citeseer",2004,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.86.5002&rep=rep1&type=pdf,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.86.5002&rep=rep1&type=pdf,,,1,7,No DOI available
A roadmap towards sustainable self-aware service systems,"S Dustdar, C Dorn, F Li, L Baresi, G Cabri… - Proceedings of the …, 2010 - dl.acm.org",2010,https://dl.acm.org/citation.cfm?id=1808986,https://dsg.tuwien.ac.at/staff/fei/papers/SEAMS-Chiristoph.pdf,,,1,31,No DOI available
"A journey to highly dynamic, self-adaptive service-based applications","E Di Nitto, C Ghezzi, A Metzger, M Papazoglou… - Automated Software …, 2008 - Springer",2008,https://link.springer.com/article/10.1007/s10515-008-0032-x,https://link.springer.com/content/pdf/10.1007/s10515-008-0032-x.pdf,,,1,305,No DOI available
Querying and updating a context-aware service directory in mobile environments,"C Doulkeridis, M Vazirgiannis - Proceedings of the 2004 IEEE/WIC/ACM …, 2004 - dl.acm.org",2004,https://dl.acm.org/citation.cfm?id=1026383,https://ieeexplore.ieee.org/iel5/9689/30573/01410867.pdf,,,1,38,No DOI available
Towards context-aware adaptable web services,"M Keidl, A Kemper - Proceedings of the 13th international World Wide …, 2004 - dl.acm.org",2004,https://dl.acm.org/citation.cfm?id=1013378,http://www.ambuehler.ethz.ch/CDstore/www2004/docs/2p55.pdf,,,1,208,No DOI available
A mobile computing middleware for location-and context-aware internet data services,"P Bellavista, A Corradi, R Montanari… - ACM Transactions on …, 2006 - dl.acm.org",2006,https://dl.acm.org/citation.cfm?id=1183465,https://www.researchgate.net/profile/Paolo_Bellavista/publication/220169794_A_mobile_computing_middleware_for_location-_and_context-aware_internet_data_services/links/541abe180cf203f155ae4f16/A-mobile-computing-middleware-for-location-and-context-aware-internet-data-services.pdf,,,1,70,No DOI available
Towards a framework for agent-enabled semantic web service composition,"V Ermolayev, N Keberle, S Plaksin… - … of Web Services …, 2004 - igi-global.com",2004,https://www.igi-global.com/article/towards-framework-agent-enabled-semantic/3045,https://www.igi-global.com/viewtitle.aspx?titleid=3045,,,1,119,No DOI available
Contextual pointcut expressions for dynamic service customization,"T Cottenier, T Elrad - Dynamic Aspects Workshop (DAW), 2005 - modularity.info",2005,http://modularity.info/conference/2005/workshops/daw/tr-daw2005-proceedings.pdf#page=95,http://modularity.info/conference/2005/workshops/daw/tr-daw2005-proceedings.pdf#page=95,,,1,6,No DOI available
WComp middleware for ubiquitous computing: Aspects and composite event-based Web services,"JY Tigli, S Lavirotte, G Rey, V Hourdin… - annals of …, 2009 - Springer",2009,https://link.springer.com/article/10.1007/s12243-008-0081-y,https://link.springer.com/article/10.1007/s12243-008-0081-y,,,1,96,No DOI available
RoleDiSCo: A middleware architecture and implementation for coordinated on-demand composition of smart service systems in decentralized environments,"M Wutzler, T Springer, A Schill - 2017 IEEE 2nd International …, 2017 - ieeexplore.ieee.org",2017,https://ieeexplore.ieee.org/abstract/document/8064094/,https://ieeexplore.ieee.org/iel7/8063634/8064070/08064094.pdf,,,1,2,No DOI available
Context-aware adaptive service mashups,"C Dorn, D Schall, S Dustdar - 2009 IEEE Asia-Pacific Services …, 2009 - ieeexplore.ieee.org",2009,https://ieeexplore.ieee.org/abstract/document/5394107/,https://ieeexplore.ieee.org/iel5/5374429/5394078/05394107.pdf,,,1,12,No DOI available
Exploring On-Demand Composition of Pervasive Collaborations in Smart Computing Environments,"M Wutzler - OTM Confederated International Conferences"" On the …, 2016 - Springer",2016,https://link.springer.com/chapter/10.1007/978-3-319-55961-2_31,No PDF available,,,1,4,No DOI available
A biochemical approach to adaptive service ecosystems,"M Viroli, F Zambonelli - Information Sciences, 2010 - Elsevier",2010,https://www.sciencedirect.com/science/article/pii/S0020025509004915,No PDF available,,,1,61,No DOI available
"Decentralization, corruption and government accountability","P Bardhan, D Mookherjee - International handbook on the …, 2006 - books.google.com",2006,https://books.google.de/books?hl=de&lr=&id=P60nmWlJWEoC&oi=fnd&pg=PA161&dq=context-dependent+AND+decentralized+service+composition&ots=ja9etKV1Bb&sig=Vdl0seQ9awE0CkkRSWt186ymzVo,http://www.untag-smd.ac.id/files/Perpustakaan_Digital_1/CORRUPTION%20International%20handbook%20on%20the%20economics%20of%20corruption.pdf#page=200,,,1,303,No DOI available
"Quality-aware service-oriented data integration: requirements, state of the art and open challenges","S Dustdar, R Pichler, V Savenkov, HL Truong - ACM SIGMOD Record, 2012 - dl.acm.org",2012,https://dl.acm.org/citation.cfm?id=2206873,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.299.9458&rep=rep1&type=pdf,,,1,52,No DOI available
Brain meets brawn: Why grid and agents need each other,"I Foster, NR Jennings, C Kesselman - Proceedings of the Third …, 2004 - dl.acm.org",2004,https://dl.acm.org/citation.cfm?id=1018787,https://eprints.soton.ac.uk/259554/1/aamas04foster.pdf,,,1,566,No DOI available
Smart Semantic Middleware for the Internet of Things.,"A Katasonov, O Kaykova, O Khriyenko… - Icinco …, 2008 - pdfs.semanticscholar.org",2008,https://pdfs.semanticscholar.org/4665/130fd1236d7cf5636b188ca7adcc4fd8d631.pdf,https://pdfs.semanticscholar.org/4665/130fd1236d7cf5636b188ca7adcc4fd8d631.pdf,,,1,212,No DOI available
A perspective on middleware-oriented context-aware pervasive systems,"Z Jaroucheh, X Liu, S Smith - 2009 33rd Annual IEEE …, 2009 - ieeexplore.ieee.org",2009,https://ieeexplore.ieee.org/abstract/document/5254117/,https://ieeexplore.ieee.org/iel5/5254044/5254045/05254117.pdf,,,1,14,No DOI available
